TICK:178 | ORBIT:2 | TEMP:9 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:179 | ORBIT:2 | TEMP:10 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:180 | ORBIT:2 | TEMP:12 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:181 | ORBIT:2 | TEMP:13 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:182 | ORBIT:2 | TEMP:14 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:183 | ORBIT:2 | TEMP:15 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:184 | ORBIT:2 | TEMP:16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:185 | ORBIT:2 | TEMP:17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:186 | ORBIT:2 | TEMP:18 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:187 | ORBIT:2 | TEMP:19 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:188 | ORBIT:2 | TEMP:20 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:189 | ORBIT:2 | TEMP:21 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:190 | ORBIT:2 | TEMP:22 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:191 | ORBIT:2 | TEMP:23 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:192 | ORBIT:2 | TEMP:23 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:193 | ORBIT:2 | TEMP:24 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:194 | ORBIT:2 | TEMP:25 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:195 | ORBIT:2 | TEMP:26 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:196 | ORBIT:2 | TEMP:27 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:197 | ORBIT:2 | TEMP:27 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:198 | ORBIT:2 | TEMP:28 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:199 | ORBIT:2 | TEMP:29 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:200 | ORBIT:2 | TEMP:29 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:201 | ORBIT:2 | TEMP:30 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:202 | ORBIT:2 | TEMP:30 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:203 | ORBIT:2 | TEMP:31 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:204 | ORBIT:2 | TEMP:31 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:205 | ORBIT:2 | TEMP:32 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:206 | ORBIT:2 | TEMP:32 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:207 | ORBIT:2 | TEMP:32 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:208 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:209 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:210 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:211 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:212 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:213 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:214 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:215 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:216 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:217 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:218 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:219 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:220 | ORBIT:2 | TEMP:33 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:221 | ORBIT:2 | TEMP:32 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:222 | ORBIT:2 | TEMP:32 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:223 | ORBIT:2 | TEMP:32 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:224 | ORBIT:2 | TEMP:31 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:225 | ORBIT:2 | TEMP:31 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:226 | ORBIT:2 | TEMP:30 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:227 | ORBIT:2 | TEMP:30 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:228 | ORBIT:2 | TEMP:29 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:229 | ORBIT:2 | TEMP:28 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:230 | ORBIT:2 | TEMP:28 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:231 | ORBIT:2 | TEMP:27 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:232 | ORBIT:2 | TEMP:26 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:233 | ORBIT:2 | TEMP:26 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
